Departamento,Year,Poblacion,Electores,PIM,Devengado,PIM_GN,Devengado_GN,PIM_GR,Devengado_GR,PIM_GL,Devengado_GL,Educacion,Salud,Saneamiento,Ambiente,Transportes,Turismo,Otros,PIM_CC,Devengado_CC,PIM_CC_GN,Devengado_CC_GN,PIM_CC_GR,Devengado_CC_GR,PIM_CC_GL,Devengado_CC_GL,Asignacion_Presupuestal_FONDES,Devengado_FONDES,Marco_Presupuestal_GN_Fondes,Devengado_GN_Fondes,Marco_Presupuestal_GR_Fondes,Devengado_GR_Fondes,Marco_Presupuestal_GL_Fondes,Devengado GL Fondes,PIM_CC_GN_ENTRE_PIM,PIM_CC_GR_ENTRE_PIM,PIM_CC_GL_ENTRE_PIM,AP_GN_Fondes_Entre_PIM,AP_GR_Fondes_Entre_PIM,AP_GL_Fondes_Entre_PIM
LIMA,2017,10143003,6773588,7022197172,4773952030,4213773448,3371092366,7022197172,4773952030,2494408564,1163151136,556234554,172907454,175638492,69183642,2257097690,10216936,1532673262,32291704,12064427,154874,0,99383,91879,32037447,11972549,55261906,6131256,41219948,395610,0,0,14041958,5735646,0.00004,0.00001,0.01284,0.00978,0,0.00563
LORETO,2017,1058946,537582,1369410301,830431626,466037950,217572499,1369410301,830431626,505903676,311166811,194213152,127177354,101369581,7988984,241475359,346078,157861118,34951192,14648112,2175465,2175458,1091417,137100,31684310,12335554,9885022,7297812,0,0,0,0,9885022,7297812,0.00467,0.0008,0.06263,0,0,0.01954
MADRE DE DIOS,2017,143687,103236,479896955,409163394,274356272,256407770,479896955,409163394,78703229,40862718,97017355,3629088,11835772,15967763,235444525,644398,44624493,9266521,3945957,999218,673936,163878,57360,8103425,3214662,107909,0,107909,0,0,0,0,0,0.00364,0.00034,0.10296,0.00039,0,0
MOQUEGUA,2017,184187,125087,681954135,534002420,113118761,103353057,681954135,534002420,251800371,165914189,100572782,83521272,45575187,1315714,160003083,2901382,140113000,7004438,4697142,0,0,0,0,7004438,4697142,0,0,0,0,0,0,0,0,0,0,0.02782,0,0,0
PASCO,2017,308465,164646,775414573,502811384,145826778,122803110,775414573,502811384,304048070,180803631,30275572,129121237,60679716,9580762,184889267,8457568,79807262,16224137,14271566,0,0,4995469,4781255,11228668,9490311,79006,0,79006,0,0,0,0,0,0,0.00644,0.03693,0.00054,0,0
PIURA,2017,1873024,1202226,2224852690,1300349762,457661561,350753660,2224852690,1300349762,1049703552,696710654,256468971,19509260,241985034,18035157,356198461,1722551,406430328,49103254,15941952,28107505,0,52166,0,20943583,15941952,230853850,9659068,41531162,0,172967627,2798719,16355061,6860349,0.06142,0.00002,0.01995,0.09075,0.07774,0.01558
PUNO,2017,1442930,760700,2364559930,1718109745,898093213,810507748,2364559930,1718109745,1080752252,660075821,215522236,84067566,393533656,23500608,744611778,1300022,255573879,37412395,27599121,0,0,3951536,3794466,33460859,23804655,30704,0,30704,0,0,0,0,0,0,0.00167,0.03096,0.00003,0,0
SAN MARTIN,2017,862822,508093,1563036261,1178700102,396431031,333611982,1563036261,1178700102,761801772,495737304,177908170,109902621,247737497,13853222,428684486,11110896,189503210,80752152,41856821,1900892,1900108,1498469,572693,77352791,39384021,3400,0,3400,0,0,0,0,0,0.0048,0.00096,0.10154,0.00001,0,0
TACNA,2017,350105,238841,879962590,691453140,381745429,342424189,879962590,691453140,293812692,210810418,68538905,67330475,25364691,7464342,415955202,4916978,101882547,295968,251343,0,0,18000,18000,277968,233343,144904,0,144904,0,0,0,0,0,0,0.00002,0.00095,0.00038,0,0
TUMBES,2017,243362,152440,380029886,233373253,129272635,97727293,380029886,233373253,162922969,73421703,58901174,5579559,13264057,5523563,77588788,212273,72303839,2074797,1463176,0,0,0,0,2074797,1463176,1198653,0,0,0,0,0,1198653,0,0,0,0.01273,0,0,0.00736
UCAYALI,2017,506881,318185,955526438,794265852,333616115,325319086,955526438,794265852,309877818,194204050,111524362,136380455,31405166,5562071,392838294,6948136,109607368,358410,358410,0,0,0,0,358410,358410,102000,0,102000,0,0,0,0,0,0,0,0.00116,0.00031,0,0
NACIONAL,2017,31826018,19614428,42258103730,28306149456,13175665858,10618972604,42258103730,28306149456,20085710275,12067284379,4299715166,1640665764,4295831396,457377495,9796819892,153699931,7662039812,927920229,568029552,43975000,14188418,89754260,72015630,794190969,481825507,414628787,38943943,106236168,396595,224579087,2798719,83813532,35748628,0.00334,0.00212,0.03954,0.00806,0.00531,0.00417
AMAZONAS,2018,435422,241316,1264437248,939844052,416643485,362312392,411348826,268893524,436444937,308638136,116326892,22264924,173110313,26625303,402614664,22705634,176196322,13650076,12147879,3814528,2479583,6745087,6697569,3090461,2970727,0,0,0,0,0,0,0,0,0.00916,0.0164,0.00708,0,0,0
ANCASH,2018,1161356,714607,2677569355,1481196038,400266768,203080349,641994793,368202049,1635307794,909913639,229546528,30537527,170039331,31034126,403451818,16776043,599810665,66304596,26124417,4791399,3070797,37339010,11732051,24174187,11321568,205520906,52049573,135656587,30444083,0,0,69864319,21605490,0.01197,0.05816,0.01478,0.33892,0,0.04272
APURIMAC,2018,453208,252314,1739171177,1136226516,407047968,313280952,340405518,209104176,991717691,613841387,177616931,68227551,162628756,38159189,351697782,6611706,331284601,67577017,52541876,0,0,51944179,40019255,15632838,12522622,0,0,0,0,0,0,0,0,0,0.15259,0.01576,0,0,0
AREQUIPA,2018,1346854,946490,2925867679,1772573203,367803120,315083219,995116290,563074620,1562948269,894415365,174117595,123208562,134190204,27082840,841949374,20586110,451438518,51493306,29283838,0,0,0,0,51493306,29283838,49673734,3337030,4374973,971316,41402898,1003122,3895863,1362592,0,0,0.03295,0.01189,0.04161,0.00249
